                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2752043536 |  2782945285 |  2855361106 |  2859686660 |  2856799706 |  2823492160 |  2841447040 |  2789678326
  Cycles                             |  1546683120 |  1546683120 |  1546683120 |  1546683120 |  1546683120 |  1546683120 |  1546683120 |  1546683120
  IPC                                |        1.78 |        1.80 |        1.85 |        1.85 |        1.85 |        1.83 |        1.84 |        1.80
  Time (ns)                          |   644451300 |   644451300 |   644451300 |   644451300 |   644451300 |   644451300 |   644451300 |   644451300
  Idle time (ns)                     |    20700583 |    20557899 |    13842776 |     9898524 |    15299127 |    13452104 |    16571133 |    22042236
  Idle time (%)                      |        3.2% |        3.2% |        2.1% |        1.5% |        2.4% |        2.1% |        2.6% |        3.4%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   226064749 |   251413592 |   278704931 |   280496835 |   278172328 |   266991341 |   270873552 |   247685537
  num incorrect                      |      858497 |      719231 |      800271 |      848857 |      793627 |      839617 |      831816 |      889081
  misprediction rate                 |       0.38% |       0.29% |       0.29% |       0.30% |       0.28% |       0.31% |       0.31% |       0.36%
  mpki                               |        0.31 |        0.26 |        0.28 |        0.30 |        0.28 |        0.30 |        0.29 |        0.32
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   321668726 |   310487273 |   306344639 |   306135823 |   307138989 |   308477057 |   308906342 |   314003724
    num misses                       |         624 |          70 |          70 |          63 |          63 |          58 |          58 |          58
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1345713909 |  1318704274 |  1317444485 |  1317022973 |  1319485496 |  1316950384 |  1322094377 |  1329579613
    num misses                       |      760513 |      699924 |      940585 |      719291 |      733771 |      820165 |      790244 |      819788
    miss rate                        |       0.06% |       0.05% |       0.07% |       0.05% |       0.06% |       0.06% |       0.06% |       0.06%
    mpki                             |        0.28 |        0.25 |        0.33 |        0.25 |        0.26 |        0.29 |        0.28 |        0.29
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      761137 |      699994 |      940655 |      719354 |      733834 |      820223 |      790302 |      819846
    num misses                       |      170469 |      130577 |      146242 |      144202 |      163522 |      166547 |      155482 |      158518
    miss rate                        |      22.40% |      18.65% |      15.55% |      20.05% |      22.28% |      20.31% |      19.67% |      19.34%
    mpki                             |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.06 |        0.05 |        0.06
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   321668726 |   310487273 |   306344639 |   306135823 |   307138989 |   308477057 |   308906342 |   314003724
    num cache misses                 |      573250 |      501105 |      357254 |      406188 |      374323 |      398792 |      375790 |      375345
    miss rate                        |       0.18% |       0.16% |       0.12% |       0.13% |       0.12% |       0.13% |       0.12% |       0.12%
    mpki                             |        0.21 |        0.18 |        0.13 |        0.14 |        0.13 |        0.14 |        0.13 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1345713909 |  1318704274 |  1317444485 |  1317022973 |  1319485496 |  1316950384 |  1322094377 |  1329579613
    num cache misses                 |    44142886 |    43106349 |    43633402 |    43590491 |    43854320 |    43860130 |    43765403 |    44118692
    miss rate                        |       3.28% |       3.27% |       3.31% |       3.31% |       3.32% |       3.33% |       3.31% |       3.32%
    mpki                             |       16.04 |       15.49 |       15.28 |       15.24 |       15.35 |       15.53 |       15.40 |       15.81
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    45128114 |    43895038 |    44365756 |    44220180 |    44517114 |    44504806 |    44360535 |    44702976
    num cache misses                 |    26420131 |    26646148 |    26047740 |    26190477 |    25971204 |    26278057 |    26063451 |    26004531
    miss rate                        |      58.54% |      60.70% |      58.71% |      59.23% |      58.34% |      59.05% |      58.75% |      58.17%
    mpki                             |        9.60 |        9.57 |        9.12 |        9.16 |        9.09 |        9.31 |        9.17 |        9.32
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    27001780 |    26945234 |    26432141 |    26429400 |    26275240 |    26540133 |    26290397 |    26222505
    num cache misses                 |      439708 |      361069 |      375738 |      307581 |      401642 |      376617 |      321455 |      506735
    miss rate                        |       1.63% |       1.34% |       1.42% |       1.16% |       1.53% |       1.42% |       1.22% |       1.93%
    mpki                             |        0.16 |        0.13 |        0.13 |        0.11 |        0.14 |        0.13 |        0.11 |        0.18
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     5253791 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     2643.57 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     2590.14 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       6.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      295907 |      262149 |      249441 |      183388 |      245448 |      222914 |      193566 |      333051
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
