                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   76950466 |   75341709 |   78791563 |   77115996 |   77218198 |   76538459 |   77600853 |   80954008
  Cycles                             |   86224800 |   86224800 |   86224800 |   86224800 |   86224800 |   86224800 |   86224800 |   86224800
  IPC                                |       0.89 |       0.87 |       0.91 |       0.89 |       0.90 |       0.89 |       0.90 |       0.94
  Time (ns)                          |   35927000 |   35927000 |   35927000 |   35927000 |   35927000 |   35927000 |   35927000 |   35927000
  Idle time (ns)                     |        234 |     499212 |     500272 |     500830 |     501210 |     501583 |     502018 |     502305
  Idle time (%)                      |       0.0% |       1.4% |       1.4% |       1.4% |       1.4% |       1.4% |       1.4% |       1.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    7602275 |    7214346 |    8215132 |    7745400 |    7765957 |    7559855 |    7905713 |    8866053
  num incorrect                      |      23559 |      37651 |      15370 |      15342 |      15867 |      26332 |       4902 |       5042
  misprediction rate                 |      0.31% |      0.52% |      0.19% |      0.20% |      0.20% |      0.35% |      0.06% |      0.06%
  mpki                               |       0.31 |       0.50 |       0.20 |       0.20 |       0.21 |       0.34 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    7899706 |    7812113 |    7794873 |    7771229 |    7753109 |    7733135 |    7707752 |    7669656
    num misses                       |        131 |         27 |         20 |         20 |         20 |         20 |         20 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   24829560 |   24243307 |   24758479 |   24494745 |   24533250 |   24439055 |   24519794 |   25028006
    num misses                       |    1284550 |    1280366 |    1282593 |    1282035 |    1280826 |    1280820 |    1283501 |    1279560
    miss rate                        |      5.17% |      5.28% |      5.18% |      5.23% |      5.22% |      5.24% |      5.23% |      5.11%
    mpki                             |      16.69 |      16.99 |      16.28 |      16.62 |      16.59 |      16.73 |      16.54 |      15.81
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1284681 |    1280393 |    1282613 |    1282055 |    1280846 |    1280840 |    1283521 |    1279580
    num misses                       |     522488 |     519327 |     520243 |     526292 |     522877 |     521531 |     522832 |     519427
    miss rate                        |     40.67% |     40.56% |     40.56% |     41.05% |     40.82% |     40.72% |     40.73% |     40.59%
    mpki                             |       6.79 |       6.89 |       6.60 |       6.82 |       6.77 |       6.81 |       6.74 |       6.42
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7899706 |    7812113 |    7794873 |    7771229 |    7753109 |    7733135 |    7707752 |    7669656
    num cache misses                 |       4774 |        912 |        631 |        743 |        639 |        736 |        596 |        881
    miss rate                        |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.06 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   24829560 |   24243307 |   24758479 |   24494745 |   24533250 |   24439055 |   24519794 |   25028006
    num cache misses                 |    1519472 |    1487481 |    1576367 |    1584707 |    1572525 |    1558271 |    1542001 |    1538901
    miss rate                        |      6.12% |      6.14% |      6.37% |      6.47% |      6.41% |      6.38% |      6.29% |      6.15%
    mpki                             |      19.75 |      19.74 |      20.01 |      20.55 |      20.36 |      20.36 |      19.87 |      19.01
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1524662 |    1488686 |    1577248 |    1585665 |    1573488 |    1559228 |    1542786 |    1539993
    num cache misses                 |     478515 |     463931 |     464320 |     468167 |     468453 |     466845 |     466888 |     464656
    miss rate                        |     31.38% |     31.16% |     29.44% |     29.52% |     29.77% |     29.94% |     30.26% |     30.17%
    mpki                             |       6.22 |       6.16 |       5.89 |       6.07 |       6.07 |       6.10 |       6.02 |       5.74
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     479134 |     464315 |     464601 |     468521 |     468807 |     467201 |     467099 |     465000
    num cache misses                 |      62286 |      50773 |      46620 |      49656 |      50406 |      50297 |      51027 |      46919
    miss rate                        |     13.00% |     10.94% |     10.03% |     10.60% |     10.75% |     10.77% |     10.92% |     10.09%
    mpki                             |       0.81 |       0.67 |       0.59 |       0.64 |       0.65 |       0.66 |       0.66 |       0.58
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     596129 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   22898.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   22844.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      33266 |      27391 |      23608 |      26377 |      27178 |      26773 |      27580 |      23317
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
