                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  174800730 |  201363321 |  203348973 |  200829850 |  201511630 |  203526830 |  200618873 |  200537078
  Cycles                             |  346814160 |  346814160 |  346814160 |  346814160 |  346814160 |  346814160 |  346814160 |  346814160
  IPC                                |       0.50 |       0.58 |       0.59 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58
  Time (ns)                          |  144505900 |  144505900 |  144505900 |  144505900 |  144505900 |  144505900 |  144505900 |  144505900
  Idle time (ns)                     |    4880965 |    9484230 |   10829707 |    6368743 |    8357598 |    8672614 |    7967666 |    9023389
  Idle time (%)                      |       3.4% |       6.6% |       7.5% |       4.4% |       5.8% |       6.0% |       5.5% |       6.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   18031519 |   26169723 |   26755313 |   26037172 |   26238205 |   26815950 |   25986182 |   25962562
  num incorrect                      |      36791 |      19134 |      18918 |      18890 |      18539 |      18346 |      18340 |      18399
  misprediction rate                 |      0.20% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
  mpki                               |       0.21 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   19379863 |   19062071 |   19041799 |   19041058 |   19038581 |   19037848 |   19037341 |   19037427
    num misses                       |        471 |         34 |         32 |         32 |         32 |         32 |         31 |         34
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   66180173 |   69068671 |   69313730 |   68951226 |   69037958 |   69324619 |   68906983 |   68895735
    num misses                       |      75871 |      75550 |      72727 |      72726 |      72730 |      75405 |      72634 |      72698
    miss rate                        |      0.11% |      0.11% |      0.10% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.43 |       0.38 |       0.36 |       0.36 |       0.36 |       0.37 |       0.36 |       0.36
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76342 |      75584 |      72759 |      72758 |      72762 |      75437 |      72665 |      72732
    num misses                       |      49904 |      48029 |      48271 |      47898 |      48191 |      47967 |      47930 |      47948
    miss rate                        |     65.37% |     63.54% |     66.34% |     65.83% |     66.23% |     63.59% |     65.96% |     65.92%
    mpki                             |       0.29 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19379863 |   19062071 |   19041799 |   19041058 |   19038581 |   19037848 |   19037341 |   19037427
    num cache misses                 |      34830 |      20947 |      20845 |      21370 |      20923 |      20889 |      20840 |      21289
    miss rate                        |      0.18% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.20 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   66180173 |   69068671 |   69313730 |   68951226 |   69037958 |   69324619 |   68906983 |   68895735
    num cache misses                 |    4158247 |    4103235 |    4084632 |    4085076 |    4084361 |    4084165 |    4083856 |    4083591
    miss rate                        |      6.28% |      5.94% |      5.89% |      5.92% |      5.92% |      5.89% |      5.93% |      5.93%
    mpki                             |      23.79 |      20.38 |      20.09 |      20.34 |      20.27 |      20.07 |      20.36 |      20.36
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4585398 |    4490600 |    4472240 |    4475295 |    4476177 |    4470180 |    4471784 |    4471487
    num cache misses                 |    4046485 |    3992603 |    3975533 |    3975525 |    3974821 |    3974738 |    3974189 |    3972305
    miss rate                        |     88.25% |     88.91% |     88.89% |     88.83% |     88.80% |     88.92% |     88.87% |     88.84%
    mpki                             |      23.15 |      19.83 |      19.55 |      19.80 |      19.73 |      19.53 |      19.81 |      19.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4440487 |    4359220 |    4342446 |    4344526 |    4345900 |    4340009 |    4341421 |    4338957
    num cache misses                 |    2376032 |    2306339 |    2254040 |    2293205 |    2313782 |    2236833 |    2260122 |    2282194
    miss rate                        |     53.51% |     52.91% |     51.91% |     52.78% |     53.24% |     51.54% |     52.06% |     52.60%
    mpki                             |      13.59 |      11.45 |      11.08 |      11.42 |      11.48 |      10.99 |      11.27 |      11.38
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   13158215 |          0 |          0 |          0 |   13157801 |          0 |          0 |          0
  average dram access latency (ns)   |   36421.52 |        inf |        inf |        inf |   36403.32 |        inf |        inf |        inf
  average dram queueing delay        |   36368.09 |       0.00 |       0.00 |       0.00 |   36349.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     76.00% |      0.00% |      0.00% |      0.00% |     76.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    1695125 |    1668631 |    1641044 |    1675975 |    1649587 |    1651888 |    1656985 |    1688124
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      37698 |       7199 |       6776 |      16422 |      72035 |       3629 |       3515 |       8567
