                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4321000777 |  4359023442 |  5362527989 |  5410116567 |  5347865856 |  5938792837 |  5434972753 |  5668124120
  Cycles                             |  3399417360 |  3399417360 |  3399417360 |  3399417360 |  3399417360 |  3399417360 |  3399417360 |  3399417360
  IPC                                |        1.27 |        1.28 |        1.58 |        1.59 |        1.57 |        1.75 |        1.60 |        1.67
  Time (ns)                          |  1416423900 |  1416423900 |  1416423900 |  1416423900 |  1416423900 |  1416423900 |  1416423900 |  1416423900
  Idle time (ns)                     |        1485 |     1580020 |     1497067 |      795353 |     1776963 |     2041778 |     1787812 |      817381
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   136119162 |   147909171 |   642734966 |   656331766 |   644953151 |   813788960 |   676003645 |   742618248
  num incorrect                      |      394665 |      371394 |      327250 |      327382 |      327265 |      327758 |      327384 |      327410
  misprediction rate                 |       0.29% |       0.25% |       0.05% |       0.05% |       0.05% |       0.04% |       0.05% |       0.04%
  mpki                               |        0.09 |        0.09 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   418367520 |   417709076 |   338105016 |   338104766 |   335716648 |   335716622 |   333802288 |   333802292
    num misses                       |         594 |          40 |          40 |          40 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1839274336 |  1842359719 |  1753533534 |  1760331420 |  1744804406 |  1829222461 |  1750914520 |  1784220657
    num misses                       |    17258829 |    17411945 |    13578106 |    14471975 |    13965923 |    12432865 |    12448870 |    14804514
    miss rate                        |       0.94% |       0.95% |       0.77% |       0.82% |       0.80% |       0.68% |       0.71% |       0.83%
    mpki                             |        3.99 |        3.99 |        2.53 |        2.67 |        2.61 |        2.09 |        2.29 |        2.61
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    17259423 |    17411985 |    13578146 |    14472015 |    13965956 |    12432898 |    12448903 |    14804547
    num misses                       |      648743 |      594968 |      510599 |      492574 |      474417 |      484089 |      466810 |      496077
    miss rate                        |       3.76% |       3.42% |       3.76% |       3.40% |       3.40% |       3.89% |       3.75% |       3.35%
    mpki                             |        0.15 |        0.14 |        0.10 |        0.09 |        0.09 |        0.08 |        0.09 |        0.09
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   418367520 |   417709076 |   338105016 |   338104766 |   335716648 |   335716622 |   333802288 |   333802292
    num cache misses                 |      587918 |      333057 |      322112 |      374631 |      232222 |      429509 |      281038 |      368874
    miss rate                        |       0.14% |       0.08% |       0.10% |       0.11% |       0.07% |       0.13% |       0.08% |       0.11%
    mpki                             |        0.14 |        0.08 |        0.06 |        0.07 |        0.04 |        0.07 |        0.05 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1839274336 |  1842359719 |  1753533534 |  1760331420 |  1744804406 |  1829222461 |  1750914520 |  1784220657
    num cache misses                 |   146712618 |   146671266 |   120987368 |   121688968 |   119161921 |   119941093 |   117336929 |   117926270
    miss rate                        |       7.98% |       7.96% |       6.90% |       6.91% |       6.83% |       6.56% |       6.70% |       6.61%
    mpki                             |       33.95 |       33.65 |       22.56 |       22.49 |       22.28 |       20.20 |       21.59 |       20.81
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |   148842788 |   148797883 |   122523352 |   123373864 |   121023576 |   121380718 |   119298402 |   119315575
    num cache misses                 |    67690134 |    66948036 |    54431039 |    54953005 |    52936478 |    52973194 |    51568221 |    51330662
    miss rate                        |      45.48% |      44.99% |      44.43% |      44.54% |      43.74% |      43.64% |      43.23% |      43.02%
    mpki                             |       15.67 |       15.36 |       10.15 |       10.16 |        9.90 |        8.92 |        9.49 |        9.06
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    69265866 |    68773728 |    55674658 |    56294225 |    54620669 |    54016871 |    53291581 |    52377340
    num cache misses                 |     5748272 |     5218742 |     4620370 |     4634910 |     4959631 |     3720639 |     4874382 |     4005487
    miss rate                        |       8.30% |       7.59% |       8.30% |       8.23% |       9.08% |       6.89% |       9.15% |       7.65%
    mpki                             |        1.33 |        1.20 |        0.86 |        0.86 |        0.93 |        0.63 |        0.90 |        0.71
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    63622656 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      726.42 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      672.99 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      37.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     4791492 |     4391391 |     3742812 |     3675388 |     4144369 |     2998419 |     4196367 |     3384052
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
