                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  720397235 |  723523950 |  723146758 |  718938692 |  721991396 |  720627271 |  721480597 |  721176003
  Cycles                             |  854011920 |  854011920 |  854011920 |  854011920 |  854011920 |  854011920 |  854011920 |  854011920
  IPC                                |       0.84 |       0.85 |       0.85 |       0.84 |       0.85 |       0.84 |       0.84 |       0.84
  Time (ns)                          |  355838300 |  355838300 |  355838300 |  355838300 |  355838300 |  355838300 |  355838300 |  355838300
  Idle time (ns)                     |     567776 |    1653365 |    1683157 |    1060975 |    1333538 |    1447430 |    1579446 |    1656448
  Idle time (%)                      |       0.2% |       0.5% |       0.5% |       0.3% |       0.4% |       0.4% |       0.4% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48371870 |   49510789 |   49394555 |   48194506 |   49013794 |   48737870 |   48930017 |   48798554
  num incorrect                      |    5834401 |    5820375 |    5820493 |    5818068 |    5820804 |    5823772 |    5817468 |    5818787
  misprediction rate                 |     10.76% |     10.52% |     10.54% |     10.77% |     10.62% |     10.67% |     10.63% |     10.65%
  mpki                               |       8.10 |       8.04 |       8.05 |       8.09 |       8.06 |       8.08 |       8.06 |       8.07
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   87050211 |   86668116 |   86678040 |   86670568 |   86697341 |   86643523 |   86674293 |   86690594
    num misses                       |        456 |         25 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  210453419 |  210182747 |  210146988 |  209534632 |  210026696 |  209723639 |  209908430 |  209891067
    num misses                       |      38098 |      34166 |      34150 |      34123 |      34144 |      34151 |      34202 |      34143
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      38554 |      34191 |      34168 |      34141 |      34162 |      34169 |      34220 |      34161
    num misses                       |       3546 |        721 |        740 |        661 |        915 |        744 |        737 |        801
    miss rate                        |      9.20% |      2.11% |      2.17% |      1.94% |      2.68% |      2.18% |      2.15% |      2.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   87050211 |   86668116 |   86678040 |   86670568 |   86697341 |   86643523 |   86674293 |   86690594
    num cache misses                 |      17619 |       7958 |       7824 |       8787 |       8772 |       8233 |       8997 |       8030
    miss rate                        |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  210453419 |  210182747 |  210146988 |  209534632 |  210026696 |  209723639 |  209908430 |  209891067
    num cache misses                 |    2950832 |    2809129 |    2902182 |    2904413 |    2913453 |    2909186 |    2915365 |    2916537
    miss rate                        |      1.40% |      1.34% |      1.38% |      1.39% |      1.39% |      1.39% |      1.39% |      1.39%
    mpki                             |       4.10 |       3.88 |       4.01 |       4.04 |       4.04 |       4.04 |       4.04 |       4.04
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2968870 |    2817155 |    2910098 |    2913259 |    2922309 |    2917480 |    2924421 |    2924638
    num cache misses                 |    2277591 |    2131239 |    2127458 |    2133836 |    2132577 |    2131138 |    2136719 |    2128488
    miss rate                        |     76.72% |     75.65% |     73.11% |     73.25% |     72.98% |     73.05% |     73.06% |     72.78%
    mpki                             |       3.16 |       2.95 |       2.94 |       2.97 |       2.95 |       2.96 |       2.96 |       2.95
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2278693 |    2131411 |    2127626 |    2133952 |    2132703 |    2131229 |    2136844 |    2128613
    num cache misses                 |     165781 |      19148 |      19281 |      15763 |      13057 |      15510 |      17555 |      17499
    miss rate                        |      7.28% |      0.90% |      0.91% |      0.74% |      0.61% |      0.73% |      0.82% |      0.82%
    mpki                             |       0.23 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     419770 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   48889.73 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   48836.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      14691 |       7953 |       9219 |       7692 |       6031 |       7812 |       7727 |       7457
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
